dataset,backbone,condition,split_seed,finding,subgroup,metric,value
NIH,densenet121-res224-all,condition_1_original,2748406118,Mass,sex:male,fnr,0.2777777777777778
NIH,densenet121-res224-all,condition_1_original,2748406118,Mass,sex_gap:female-minus-male,fnr,0.07698412698412699
NIH,densenet121-res224-all,condition_1_original,2748406118,Hernia,sex:female,fnr,0.2
NIH,densenet121-res224-all,condition_1_original,2748406118,Hernia,sex:male,fnr,0.41379310344827586
NIH,densenet121-res224-all,condition_1_original,2748406118,Hernia,sex_gap:female-minus-male,fnr,-0.21379310344827585
NIH,densenet121-res224-all,condition_1_original,2748406118,NIH_14_pooled,sex:female,fnr,0.3261872859907697
NIH,densenet121-res224-all,condition_1_original,2748406118,NIH_14_pooled,sex:male,fnr,0.28754134509371554
NIH,densenet121-res224-all,condition_1_original,2748406118,NIH_14_pooled,sex_gap:female-minus-male,fnr,0.03864594089705414
NIH,densenet121-res224-all,condition_1_original,1569714665,Atelectasis,sex:female,fnr,0.23692992213570635
NIH,densenet121-res224-all,condition_1_original,1569714665,Atelectasis,sex:male,fnr,0.218304576144036
NIH,densenet121-res224-all,condition_1_original,1569714665,Atelectasis,sex_gap:female-minus-male,fnr,0.018625345991670345
NIH,densenet121-res224-all,condition_1_original,1569714665,Consolidation,sex:female,fnr,0.21465968586387435
NIH,densenet121-res224-all,condition_1_original,1569714665,Consolidation,sex:male,fnr,0.2260536398467433
NIH,densenet121-res224-all,condition_1_original,1569714665,Consolidation,sex_gap:female-minus-male,fnr,-0.011393953982868937
NIH,densenet121-res224-all,condition_1_original,1569714665,Infiltration,sex:female,fnr,0.5233415233415234
NIH,densenet121-res224-all,condition_1_original,1569714665,Infiltration,sex:male,fnr,0.47289293849658315
NIH,densenet121-res224-all,condition_1_original,1569714665,Infiltration,sex_gap:female-minus-male,fnr,0.05044858484494025
NIH,densenet121-res224-all,condition_1_original,1569714665,Pneumothorax,sex:female,fnr,0.22612085769980506
NIH,densenet121-res224-all,condition_1_original,1569714665,Pneumothorax,sex:male,fnr,0.12280701754385964
NIH,densenet121-res224-all,condition_1_original,1569714665,Pneumothorax,sex_gap:female-minus-male,fnr,0.10331384015594541
NIH,densenet121-res224-all,condition_1_original,1569714665,Edema,sex:female,fnr,0.12334801762114538
NIH,densenet121-res224-all,condition_1_original,1569714665,Edema,sex:male,fnr,0.14096916299559473
NIH,densenet121-res224-all,condition_1_original,1569714665,Edema,sex_gap:female-minus-male,fnr,-0.01762114537444935
NIH,densenet121-res224-all,condition_1_original,1569714665,Emphysema,sex:female,fnr,0.2336448598130841
NIH,densenet121-res224-all,condition_1_original,1569714665,Emphysema,sex:male,fnr,0.1437908496732026
NIH,densenet121-res224-all,condition_1_original,1569714665,Emphysema,sex_gap:female-minus-male,fnr,0.08985401013988151
NIH,densenet121-res224-all,condition_1_original,1569714665,Fibrosis,sex:female,fnr,0.26573426573426573
NIH,densenet121-res224-all,condition_1_original,1569714665,Fibrosis,sex:male,fnr,0.2727272727272727
NIH,densenet121-res224-all,condition_1_original,1569714665,Fibrosis,sex_gap:female-minus-male,fnr,-0.006993006993006978
NIH,densenet121-res224-all,condition_1_original,1569714665,Effusion,sex:female,fnr,0.18330605564648117
NIH,densenet121-res224-all,condition_1_original,1569714665,Effusion,sex:male,fnr,0.1837431693989071
NIH,densenet121-res224-all,condition_1_original,1569714665,Effusion,sex_gap:female-minus-male,fnr,-0.00043711375242594386
NIH,densenet121-res224-all,condition_1_original,1569714665,Pneumonia,sex:female,fnr,0.4594594594594595
NIH,densenet121-res224-all,condition_1_original,1569714665,Pneumonia,sex:male,fnr,0.3493975903614458
NIH,densenet121-res224-all,condition_1_original,1569714665,Pneumonia,sex_gap:female-minus-male,fnr,0.11006186909801369
NIH,densenet121-res224-all,condition_1_original,1569714665,Pleural_Thickening,sex:female,fnr,0.2908366533864542
NIH,densenet121-res224-all,condition_1_original,1569714665,Pleural_Thickening,sex:male,fnr,0.3875968992248062
NIH,densenet121-res224-all,condition_1_original,1569714665,Pleural_Thickening,sex_gap:female-minus-male,fnr,-0.09676024583835202
NIH,densenet121-res224-all,condition_1_original,1569714665,Cardiomegaly,sex:female,fnr,0.22424242424242424
NIH,densenet121-res224-all,condition_1_original,1569714665,Cardiomegaly,sex:male,fnr,0.21367521367521367
NIH,densenet121-res224-all,condition_1_original,1569714665,Cardiomegaly,sex_gap:female-minus-male,fnr,0.010567210567210578
NIH,densenet121-res224-all,condition_1_original,1569714665,Nodule,sex:female,fnr,0.5205724508050089
NIH,densenet121-res224-all,condition_1_original,1569714665,Nodule,sex:male,fnr,0.42544459644322846
NIH,densenet121-res224-all,condition_1_original,1569714665,Nodule,sex_gap:female-minus-male,fnr,0.09512785436178045
NIH,densenet121-res224-all,condition_1_original,1569714665,Mass,sex:female,fnr,0.3137254901960784
NIH,densenet121-res224-all,condition_1_original,1569714665,Mass,sex:male,fnr,0.2522255192878338
NIH,densenet121-res224-all,condition_1_original,1569714665,Mass,sex_gap:female-minus-male,fnr,0.061499970908244606
NIH,densenet121-res224-all,condition_1_original,1569714665,Hernia,sex:female,fnr,0.14814814814814814
NIH,densenet121-res224-all,condition_1_original,1569714665,Hernia,sex:male,fnr,0.3
NIH,densenet121-res224-all,condition_1_original,1569714665,Hernia,sex_gap:female-minus-male,fnr,-0.15185185185185185
NIH,densenet121-res224-all,condition_1_original,1569714665,NIH_14_pooled,sex:female,fnr,0.32160804020100503
NIH,densenet121-res224-all,condition_1_original,1569714665,NIH_14_pooled,sex:male,fnr,0.2958751393534002
NIH,densenet121-res224-all,condition_1_original,1569714665,NIH_14_pooled,sex_gap:female-minus-male,fnr,0.025732900847604823
NIH,densenet121-res224-all,condition_1_original,2006902500,Atelectasis,sex:female,fnr,0.23578947368421052
NIH,densenet121-res224-all,condition_1_original,2006902500,Atelectasis,sex:male,fnr,0.239067055393586
NIH,densenet121-res224-all,condition_1_original,2006902500,Atelectasis,sex_gap:female-minus-male,fnr,-0.0032775817093754767
NIH,densenet121-res224-all,condition_1_original,2006902500,Consolidation,sex:female,fnr,0.22194513715710723
NIH,densenet121-res224-all,condition_1_original,2006902500,Consolidation,sex:male,fnr,0.22941176470588234
NIH,densenet121-res224-all,condition_1_original,2006902500,Consolidation,sex_gap:female-minus-male,fnr,-0.007466627548775112
NIH,densenet121-res224-all,condition_1_original,2006902500,Infiltration,sex:female,fnr,0.5079365079365079
NIH,densenet121-res224-all,condition_1_original,2006902500,Infiltration,sex:male,fnr,0.5030878859857483
NIH,densenet121-res224-all,condition_1_original,2006902500,Infiltration,sex_gap:female-minus-male,fnr,0.004848621950759635
NIH,densenet121-res224-all,condition_1_original,2006902500,Pneumothorax,sex:female,fnr,0.17227722772277226
NIH,densenet121-res224-all,condition_1_original,2006902500,Pneumothorax,sex:male,fnr,0.1430745814307458
NIH,densenet121-res224-all,condition_1_original,2006902500,Pneumothorax,sex_gap:female-minus-male,fnr,0.029202646292026457
NIH,densenet121-res224-all,condition_1_original,2006902500,Edema,sex:female,fnr,0.12393162393162394
NIH,densenet121-res224-all,condition_1_original,2006902500,Edema,sex:male,fnr,0.1774193548387097
NIH,densenet121-res224-all,condition_1_original,2006902500,Edema,sex_gap:female-minus-male,fnr,-0.05348773090708575
NIH,densenet121-res224-all,condition_1_original,2006902500,Emphysema,sex:female,fnr,0.2608695652173913
NIH,densenet121-res224-all,condition_1_original,2006902500,Emphysema,sex:male,fnr,0.20477815699658702
NIH,densenet121-res224-all,condition_1_original,2006902500,Emphysema,sex_gap:female-minus-male,fnr,0.05609140822080427
NIH,densenet121-res224-all,condition_1_original,2006902500,Fibrosis,sex:female,fnr,0.3076923076923077
NIH,densenet121-res224-all,condition_1_original,2006902500,Fibrosis,sex:male,fnr,0.3987341772151899
NIH,densenet121-res224-all,condition_1_original,2006902500,Fibrosis,sex_gap:female-minus-male,fnr,-0.09104186952288218
NIH,densenet121-res224-all,condition_1_original,2006902500,Effusion,sex:female,fnr,0.19654231119199272
NIH,densenet121-res224-all,condition_1_original,2006902500,Effusion,sex:male,fnr,0.19669876203576342
NIH,densenet121-res224-all,condition_1_original,2006902500,Effusion,sex_gap:female-minus-male,fnr,-0.00015645084377069463
NIH,densenet121-res224-all,condition_1_original,2006902500,Pneumonia,sex:female,fnr,0.3391304347826087
NIH,densenet121-res224-all,condition_1_original,2006902500,Pneumonia,sex:male,fnr,0.4161490683229814
NIH,densenet121-res224-all,condition_1_original,2006902500,Pneumonia,sex_gap:female-minus-male,fnr,-0.0770186335403727
NIH,densenet121-res224-all,condition_1_original,2006902500,Pleural_Thickening,sex:female,fnr,0.35019455252918286
NIH,densenet121-res224-all,condition_1_original,2006902500,Pleural_Thickening,sex:male,fnr,0.38345864661654133
NIH,densenet121-res224-all,condition_1_original,2006902500,Pleural_Thickening,sex_gap:female-minus-male,fnr,-0.033264094087358476
NIH,densenet121-res224-all,condition_1_original,2006902500,Cardiomegaly,sex:female,fnr,0.18497109826589594
NIH,densenet121-res224-all,condition_1_original,2006902500,Cardiomegaly,sex:male,fnr,0.21694915254237288
NIH,densenet121-res224-all,condition_1_original,2006902500,Cardiomegaly,sex_gap:female-minus-male,fnr,-0.03197805427647693
NIH,densenet121-res224-all,condition_1_original,2006902500,Nodule,sex:female,fnr,0.5119047619047619
NIH,densenet121-res224-all,condition_1_original,2006902500,Nodule,sex:male,fnr,0.4864864864864865
NIH,densenet121-res224-all,condition_1_original,2006902500,Nodule,sex_gap:female-minus-male,fnr,0.02541827541827535
